Depth,ROP(1 ft),WOB (k-lbs),Temp Out( degF),Temp In(degF),Pit Total (bbls),Pump Press (psi),ROP(1 min),Hookload (k-lbs),Surface Torque (psi),Rotary Speed (rpm),Flow In (gpm),Flow Out %,WH Pressure (psi),H2S Floor,H2S Cellar,H2S Pits
250.97,148.74,0,98.82,97.12,196.34,441.61,141.18,50.37,8.02,0,1046.1,98.7,-1231.83,-0.01,-0.02,0.23
251.97,94.89,0,99.05,97.12,196.15,437.79,122.22,52.59,7.98,0,1042.65,98.26,-1231.83,-0.02,-0.01,0.22
253.01,177.08,0,99.09,97.16,195.91,436.27,131.58,50.91,8.02,0,1043.46,96.65,-1231.45,-0.01,0,0.24
254.01,161.67,0,99.01,97.16,195.7,437.41,131.13,43.21,8.02,0,1040.2,96.7,-1231.45,-0.01,-0.01,0.23
255.15,136.15,0,100.58,98.46,186.15,424.83,85.19,55.18,8.89,0,1020.85,88,-1231.83,-0.01,-0.01,0.23
256.22,91.22,0,100.77,98.53,185.45,423.31,88.31,61.81,8.93,0,1022.47,85.14,-1231.45,-0.01,0,0.23
258.1,0,0,100.23,98.8,186.12,19.94,0,63.18,9.7,0,0,34.46,-1231.83,0,0.02,0.26
259.12,521.14,0,98.82,98.53,182.53,438.56,90.58,68.83,9.58,0,1036.92,102.03,-1231.83,-0.01,-0.02,0.25
260.12,428.18,0,98.86,98.57,182.51,437.41,118.19,69.28,9.58,0,1036.92,102.94,-1231.83,-0.01,-0.01,0.26
261.31,475.77,0,98.86,98.61,182.48,439.32,149.74,70.43,9.62,0,1034.68,102.64,-1231.45,-0.01,-0.01,0.26
262.32,277.37,0,98.9,98.73,182.46,439.7,165.55,67,9.58,0,1034.89,100.87,-1231.83,-0.02,0,0.26
263.51,67,0,99.09,99.07,181.73,434.74,115.78,68.45,9.62,0,1035.09,99.26,-1231.83,-0.02,-0.01,0.26
264.54,70.16,0,99.09,99.3,181.7,443.89,104,49.08,9.62,0,1042.4,97.88,-1231.83,-0.01,-0.02,0.25
265.7,86.86,0,99.32,99.45,181.43,440.84,98.64,46.26,9.62,0,1043.62,97.02,-1231.83,-0.01,-0.02,0.26
266.76,256.67,0,99.36,99.45,181.41,446.18,120.11,51.75,9.62,0,1044.84,95.83,-1231.45,-0.01,-0.01,0.26
267.86,303.37,0,98.86,99.53,181.4,441.99,143.44,63.03,9.62,0,1046.06,94.83,-1231.83,-0.02,-0.03,0.25
269.01,379.02,0,98.98,99.53,181.44,446.94,168.78,46.79,9.62,0,1046.46,94.39,-1231.45,-0.02,-0.02,0.26
270.05,247.9,0,99.62,99.56,181.33,443.89,180.48,62.8,9.62,0,1048.29,94.58,-1231.83,-0.02,-0.01,0.25
271.08,131.85,0,100.65,99.56,181.4,449.23,169.25,61.13,9.66,0,1050.33,93.99,-1231.83,-0.02,0.01,0.25
272.08,163.9,0,100.65,99.6,181.37,444.66,168.66,59.37,9.62,0,1049.51,92.76,-1231.45,-0.01,0,0.26
273.15,59.76,0,100.69,99.64,181.41,446.18,121.01,56.02,9.7,0,1044.43,90.8,-1231.45,0,-0.01,0.24
274.18,148.75,0,100.77,99.64,181.44,441.99,128.05,51.06,9.7,0,1044.23,89.99,-1231.83,-0.01,-0.01,0.25
275.21,120.46,0,100.96,99.64,181.53,443.51,111.87,55.48,9.73,0,1044.03,86.05,-1231.45,0,-0.02,0.25
276.24,87.65,0,102.18,99.87,178.87,435.51,23.17,61.96,9.85,0,1036.9,84.49,-1231.45,-0.01,0,0.26
277.28,137.73,0,102.1,99.94,178.65,439.7,50.56,67.45,9.85,0,1040.56,86.09,-1231.45,0,-0.01,0.25
